id_tramite,id_procedimiento,procedimiento_antiguo,id_etapa,etapa,id_etapa_padre,etapa_padre,nombre_del_tramite,matriz_especifica_opcional,observaciones
1,19,REDACCIÓN,16,ASIGNACIÓN,,,Asignación Abogado,M3,"Redacción de escritura: causa técnicamente compleja. Excepción: si la causa lleva más de 9 meses en el sistema sin cierre, baja a M1 Baja."
2,19,REDACCIÓN,16,ASIGNACIÓN,,,Bienvenida Realizada,M3,"Redacción de escritura: causa técnicamente compleja. Excepción: si la causa lleva más de 9 meses en el sistema sin cierre, baja a M1 Baja."
3,19,REDACCIÓN,16,ASIGNACIÓN,,,Solicitud de documentos,M3,"Redacción de escritura: causa técnicamente compleja. Excepción: si la causa lleva más de 9 meses en el sistema sin cierre, baja a M1 Baja."
4,19,REDACCIÓN,16,ASIGNACIÓN,,,Se encarga redacción,M3,"Redacción de escritura: causa técnicamente compleja. Excepción: si la causa lleva más de 9 meses en el sistema sin cierre, baja a M1 Baja."
5,19,REDACCIÓN,16,ASIGNACIÓN,,,Redacción confeccionada,M3,"Redacción de escritura: causa técnicamente compleja. Excepción: si la causa lleva más de 9 meses en el sistema sin cierre, baja a M1 Baja."
6,19,REDACCIÓN,16,ASIGNACIÓN,,,Trámite inscripción CBR,M3,"Redacción de escritura: causa técnicamente compleja. Excepción: si la causa lleva más de 9 meses en el sistema sin cierre, baja a M1 Baja."
7,19,REDACCIÓN,16,ASIGNACIÓN,,,Inscripción realizada,M3,"Redacción de escritura: causa técnicamente compleja. Excepción: si la causa lleva más de 9 meses en el sistema sin cierre, baja a M1 Baja."
8,19,REDACCIÓN,16,ASIGNACIÓN,,,Rechazo Inscripción,M3,"Redacción de escritura: causa técnicamente compleja. Excepción: si la causa lleva más de 9 meses en el sistema sin cierre, baja a M1 Baja."
9,2,PREVENTIVOS,19,ASIGNACIÓN,,,Asignación Abogado,M1 Baja,
10,2,PREVENTIVOS,19,ASIGNACIÓN,,,Bienvenida Realizada,M1 Baja,
11,2,PREVENTIVOS,19,ASIGNACIÓN,,,Clave OK,M1 Baja,
12,2,PREVENTIVOS,19,ASIGNACIÓN,,,Monitoreo e Informe,M1 Baja,
13,16,JUICIO EJECUTIVO,1,ASIGNACIÓN,,,Asignación Abogado,M1 Baja,
14,16,JUICIO EJECUTIVO,1,ASIGNACIÓN,,,Bienvenida Realizada,M1 Baja,
15,16,JUICIO EJECUTIVO,5,INGRESO EXCEPCIONES DILATORIAS,2,DEMANDA NOTIFICADA,Notificación,M2,
16,16,JUICIO EJECUTIVO,5,INGRESO EXCEPCIONES DILATORIAS,2,DEMANDA NOTIFICADA,Traslado,M2,
17,16,JUICIO EJECUTIVO,6,INGRESO EXCEPCIONES DE PRESCRIPCIÓN,2,DEMANDA NOTIFICADA,Notificación,M1 Alta,
18,16,JUICIO EJECUTIVO,6,INGRESO EXCEPCIONES DE PRESCRIPCIÓN,2,DEMANDA NOTIFICADA,Traslado,M1 Alta,
19,16,JUICIO EJECUTIVO,6,INGRESO EXCEPCIONES DE PRESCRIPCIÓN,2,DEMANDA NOTIFICADA,Fallo,M1 Alta,
20,16,JUICIO EJECUTIVO,7,INGRESO ABANDONO DE PROCEDIMIENTO 6 MESES,2,DEMANDA NOTIFICADA,Notificación,M2,Abandono de procedimiento de 6 meses: tratamiento fijo en esta matriz por su plazo fatal de traslado.
21,16,JUICIO EJECUTIVO,7,INGRESO ABANDONO DE PROCEDIMIENTO 6 MESES,2,DEMANDA NOTIFICADA,Traslado,M2,Abandono de procedimiento de 6 meses: tratamiento fijo en esta matriz por su plazo fatal de traslado.
22,16,JUICIO EJECUTIVO,7,INGRESO ABANDONO DE PROCEDIMIENTO 6 MESES,2,DEMANDA NOTIFICADA,Fallo,M2,Abandono de procedimiento de 6 meses: tratamiento fijo en esta matriz por su plazo fatal de traslado.
23,16,JUICIO EJECUTIVO,8,INGRESO ABANDONO DE PROCEDIMIENTO 3 AÑOS,2,DEMANDA NOTIFICADA,Notificación,M1 Alta,
24,16,JUICIO EJECUTIVO,8,INGRESO ABANDONO DE PROCEDIMIENTO 3 AÑOS,2,DEMANDA NOTIFICADA,Traslado,M1 Alta,
25,16,JUICIO EJECUTIVO,8,INGRESO ABANDONO DE PROCEDIMIENTO 3 AÑOS,2,DEMANDA NOTIFICADA,Fallo,M1 Alta,
26,16,JUICIO EJECUTIVO,9,INGRESO INCIDENTE DE NULIDAD,2,DEMANDA NOTIFICADA,Traslado,M2,
27,16,JUICIO EJECUTIVO,9,INGRESO INCIDENTE DE NULIDAD,2,DEMANDA NOTIFICADA,Termino Probatorio,M2,
28,16,JUICIO EJECUTIVO,9,INGRESO INCIDENTE DE NULIDAD,2,DEMANDA NOTIFICADA,Fallo,M2,
29,16,JUICIO EJECUTIVO,3,APREMIO,,,Tercería Presentada,M3,Tercería: defensa típica de la fase de apremio/embargo.
30,16,JUICIO EJECUTIVO,3,APREMIO,,,Termino Probatorio Tercería,M3,Tercería: defensa típica de la fase de apremio/embargo.
31,16,JUICIO EJECUTIVO,3,APREMIO,,,Fallo Tercería,M3,Tercería: defensa típica de la fase de apremio/embargo.
32,16,JUICIO EJECUTIVO,10,EMBARGO BIENES MUEBLES,3,APREMIO,Incidente de Nulidad,M3,
33,16,JUICIO EJECUTIVO,10,EMBARGO BIENES MUEBLES,3,APREMIO,Reducción de Embargo,M3,
34,16,JUICIO EJECUTIVO,10,EMBARGO BIENES MUEBLES,3,APREMIO,Termino Probatorio Reducción de Embargo,M3,
35,16,JUICIO EJECUTIVO,10,EMBARGO BIENES MUEBLES,3,APREMIO,Fallo Reducción de Embargo,M3,
36,16,JUICIO EJECUTIVO,11,EMBARGO INMUEBLE,3,APREMIO,Bases de Remate,M3,
37,16,JUICIO EJECUTIVO,11,EMBARGO INMUEBLE,3,APREMIO,Objeta Mínimo de Subasta,M3,
38,16,JUICIO EJECUTIVO,11,EMBARGO INMUEBLE,3,APREMIO,Designación de Perito,M3,
39,16,JUICIO EJECUTIVO,11,EMBARGO INMUEBLE,3,APREMIO,Fija Fecha de Remate,M3,
40,16,JUICIO EJECUTIVO,11,EMBARGO INMUEBLE,3,APREMIO,Remate de Inmueble,M3,
41,16,JUICIO EJECUTIVO,4,EXHIBICIÓN DOCUMENTOS,,,Redacción Exhibición de Documentos,M1 Baja,
42,16,JUICIO EJECUTIVO,4,EXHIBICIÓN DOCUMENTOS,,,Presentación,M1 Baja,
43,16,JUICIO EJECUTIVO,4,EXHIBICIÓN DOCUMENTOS,,,Notificación,M1 Baja,
44,16,JUICIO EJECUTIVO,4,EXHIBICIÓN DOCUMENTOS,,,Audiencia,M1 Baja,
45,16,JUICIO EJECUTIVO,4,EXHIBICIÓN DOCUMENTOS,,,Sentencia,M1 Baja,
46,16,JUICIO EJECUTIVO,12,FASE DECLARATIVA,4,EXHIBICIÓN DOCUMENTOS,Demanda Presentada,M1 Baja,"Demanda declarativa presentada, aún sin notificar."
47,16,JUICIO EJECUTIVO,12,FASE DECLARATIVA,4,EXHIBICIÓN DOCUMENTOS,Notificación Demanda Declarativa,M2,
